Section,Parameter,Value
inputs,thrust_N,30000.0
inputs,chamber_pressure_Pa,12000000.0
inputs,mixture_ratio,2.6
inputs,propellant,LOX/CH4
inputs,convergent_half_angle_deg,30.0
combustor,throat_diameter_mm,42.64872372458461
combustor,throat_area_cm2,14.285714285714283
combustor,chamber_diameter_mm,91.47911113425532
combustor,chamber_area_cm2,65.72547804155809
combustor,contraction_ratio,4.600783462909067
combustor,chamber_length_mm,235.9108809294045
combustor,cylindrical_length_mm,193.62252495599387
combustor,convergent_length_mm,42.288355973410646
combustor,chamber_volume_liters,1.4285714285714284
combustor,characteristic_length_m,1.0
combustor,stay_time_ms,1.3503733132963323
combustor,c_star_m_s,1760.6962732986144
mass_flow,total_kg_s,9.73640792158916
mass_flow,fuel_kg_s,2.704557755996989
mass_flow,oxidizer_kg_s,7.0318501655921715
thermal_screen,peak_throat_heat_flux_MW_m2,85.95673349368889
acoustic_screen,1T_Hz,8013.666297491758
acoustic_screen,1R_Hz,16677.32104053565
acoustic_screen,1L_Hz,2651.1112595348754
structural_screen,min_wall_thickness_mm,2.9404000007439213
structural_screen,recommended_wall_thickness_mm,3.6755000009299015
